,y,Value
328,y329,"tf.Tensor(0.07091698512763998, shape=(), dtype=float64)"
329,y330,"tf.Tensor(0.07000488019428622, shape=(), dtype=float64)"
330,y331,"tf.Tensor(0.07030970010153736, shape=(), dtype=float64)"
331,y332,"tf.Tensor(0.07232255018224563, shape=(), dtype=float64)"
332,y333,"tf.Tensor(0.07291483442896263, shape=(), dtype=float64)"
333,y334,"tf.Tensor(0.07261488582940603, shape=(), dtype=float64)"
334,y335,"tf.Tensor(0.07322279537808918, shape=(), dtype=float64)"
335,y336,"tf.Tensor(0.07369495082860572, shape=(), dtype=float64)"
336,y337,"tf.Tensor(0.07296493637333518, shape=(), dtype=float64)"
337,y338,"tf.Tensor(0.07278037600171541, shape=(), dtype=float64)"
338,y339,"tf.Tensor(0.07048027169674828, shape=(), dtype=float64)"
339,y340,"tf.Tensor(0.07106059990584199, shape=(), dtype=float64)"
340,y341,"tf.Tensor(0.07043520034242928, shape=(), dtype=float64)"
341,y342,"tf.Tensor(0.07041198294078162, shape=(), dtype=float64)"
342,y343,"tf.Tensor(0.07073148202403813, shape=(), dtype=float64)"
343,y344,"tf.Tensor(0.07090406647124751, shape=(), dtype=float64)"
344,y345,"tf.Tensor(0.07002861225822406, shape=(), dtype=float64)"
345,y346,"tf.Tensor(0.06988531605745874, shape=(), dtype=float64)"
346,y347,"tf.Tensor(0.07009534933184103, shape=(), dtype=float64)"
347,y348,"tf.Tensor(0.0704174382968296, shape=(), dtype=float64)"
348,y349,"tf.Tensor(0.07005978142949251, shape=(), dtype=float64)"
349,y350,"tf.Tensor(0.07158349254500565, shape=(), dtype=float64)"
350,y351,"tf.Tensor(0.0703487677626373, shape=(), dtype=float64)"
351,y352,"tf.Tensor(0.0694580980906451, shape=(), dtype=float64)"
352,y353,"tf.Tensor(0.06954074305659794, shape=(), dtype=float64)"
353,y354,"tf.Tensor(0.06922289481410793, shape=(), dtype=float64)"
354,y355,"tf.Tensor(0.06827885375382152, shape=(), dtype=float64)"
355,y356,"tf.Tensor(0.06743988453655408, shape=(), dtype=float64)"
356,y357,"tf.Tensor(0.06496589980551436, shape=(), dtype=float64)"
357,y358,"tf.Tensor(0.06264540867012715, shape=(), dtype=float64)"
358,y359,"tf.Tensor(0.06348050048565984, shape=(), dtype=float64)"
359,y360,"tf.Tensor(0.0610066653761957, shape=(), dtype=float64)"
360,y361,"tf.Tensor(0.06087612169323098, shape=(), dtype=float64)"
361,y362,"tf.Tensor(0.06114223936170468, shape=(), dtype=float64)"
362,y363,"tf.Tensor(0.06156716222535906, shape=(), dtype=float64)"
363,y364,"tf.Tensor(0.06041398019098941, shape=(), dtype=float64)"
364,y365,"tf.Tensor(0.059977930795906464, shape=(), dtype=float64)"
365,y366,"tf.Tensor(0.06127307212225622, shape=(), dtype=float64)"
366,y367,"tf.Tensor(0.060942670336118346, shape=(), dtype=float64)"
367,y368,"tf.Tensor(0.060002238129321525, shape=(), dtype=float64)"
368,y369,"tf.Tensor(0.05998533532325117, shape=(), dtype=float64)"
369,y370,"tf.Tensor(0.05923704416499832, shape=(), dtype=float64)"
370,y371,"tf.Tensor(0.05818654228177456, shape=(), dtype=float64)"
371,y372,"tf.Tensor(0.057837926121422245, shape=(), dtype=float64)"
372,y373,"tf.Tensor(0.057684178563942166, shape=(), dtype=float64)"
373,y374,"tf.Tensor(0.05827638814833448, shape=(), dtype=float64)"
374,y375,"tf.Tensor(0.058974356431611016, shape=(), dtype=float64)"
375,y376,"tf.Tensor(0.05930332411303289, shape=(), dtype=float64)"
376,y377,"tf.Tensor(0.05823950169306094, shape=(), dtype=float64)"
